contrato|posto|n
BENTO GONÇALVES A.ADM 002 2021|UPA|9
BENTO GONÇALVES LIMPEZA 048.2026|ESF ZATT|1
BENTO GONÇALVES LIMPEZA 048.2026|ESPECIALIDADES|2
BENTO GONÇALVES LIMPEZA 048.2026|UPA 24 H|3
BENTO GONÇALVES LIMPEZA 0672019|CAPS AD|3
BENTO GONÇALVES LIMPEZA 0672019|ESF PROGRESSO II/CVI|2
BENTO GONÇALVES LIMPEZA 0672019|ESF ZATT|2
BENTO GONÇALVES LIMPEZA 0672019|ESPECIALIDADES|1
BENTO GONÇALVES LIMPEZA 0672019|UBS ZONA SUL|2
BENTO GONÇALVES LIMPEZA 0672019|UPA 24 H|9
CAMARA DE RIO GRANDE - PORTARIA - 002.2023|CAMARA DE VEREADORES DE RIO GRANDE|3
CANAÃ|ESCOLA CANAÃ|9
CANOINHAS - EMBRAPA|CANOINHAS - EMBRAPA|3
CAXIAS DO SUL - 095.2026|ALÔ CAXIAS|2
CAXIAS DO SUL - 095.2026|CAT AEROPORTO|1
CAXIAS DO SUL - 095.2026|CAT PRAÇAS|1
CAXIAS DO SUL - 095.2026|CENTRAL TELEFONICA|1
CAXIAS DO SUL TELEFONISTAS - 2026/95|Alô Caxias|1
CAXIAS DO SUL TELEFONISTAS - 2026/95|CAT (Centro de Atenção ao Turista) Praça Dante Alighieri|1
CHARQUEADAS - 005 2021|PREFEITURA|1
CHARQUEADAS - 005 2021|SEC OBRAS|5
CHARQUEADAS - 168 2021|EMEI CRIANÇA FELIZ|1
CHARQUEADAS - 168 2021|EMEI FLORA|1
CHARQUEADAS - 168 2021|EMEI MARIA DO CARMO|1
CHARQUEADAS - 168 2021|EMEI SANTA BARBARA|1
CHARQUEADAS - 168 2021|EMEI TIA FILO|3
CHARQUEADAS - 168 2021|ESCOLA GUAIBA CITY|1
CHARQUEADAS - 168 2021|ESCOLA MARIA DE LOURDES|1
CHARQUEADAS - 168 2021|ESCOLA NEI BERBIGIER|1
CHARQUEADAS - 168 2021|ESCOLA OTAVIO LAZARO|1
CHARQUEADAS - 168 2021|ESCOLA OTAVIO REIS|2
CHARQUEADAS - 168 2021|ESCOLA PIO|3
CHARQUEADAS - 168 2021|ESCOLA SÃO MIGUEL|3
CHARQUEADAS - 249 2020|AGRICULTURA|4
CHARQUEADAS - 249 2020|ASSISTENCIA SOCIAL|3
CHARQUEADAS - 249 2020|PREFEITURA|10
CHARQUEADAS - 249 2020|SECRETARIA DE SAUDE|1
CHARQUEADAS - 249 2020|SERVIÇOS URBANOS|11
CHARQUEADAS - 249 2020|UBS OSMAR WIENK|1
CHARQUEADAS - 249 2020|UBS VILA OTILIA|1
C.RIO GRANDE-LIMPEZA 001 2023|CAMARA DE VEREADORES DE RIO GRANDE|7
DMAE 895|PORTARIA DA DIREÇÃO GERAL DG 1|1
DMAE 895|PORTARIA DA DIREÇÃO GERAL DG 2|2
DMAE 895|PORTARIA DA DIRETORIA ADMINISTRATIVA DA|2
DMAE 895|PORTARIA DA GCON/C-LEITURA|1
DMAE 895|PORTARIA DA GDCE|2
DMAE 895|PORTARIA DA GDLE|1
DMAE 895|PORTARIA DA GLIC|1
DMAE 895|PORTARIA DA GMAN-2(APOIO 1)|1
DMAE 895|PORTARIA DA GSUP|1
DMAE 895|PORTARIA DE GCON / C-MICROM|1
DMAE 895|PORTARIA DO POSTO ATEND. AO CLIENTE CENTRO 1|1
DMAE 895|PORTARIA DO POSTO ATEND. AO CLIENTE CENTRO 2|1
DMAE 895|PORTARIA DO POSTO ATEND. AO CLIENTE CENTRO 3|1
DMAE 895|TORRE (APOIO)|1
EMBRAPA - 93 2021|EMBRAPA PELOTAS|25
FUNARBE PELOTAS - 58164.2025|FUNARBE PELOTAS|1
FURG HU - 006 2023|FURG HU RIO GRANDE|13
FURG JARDINAGEM 049 2022|FURG RIO GRANDE|14
FURG PORTARIA - 55 2023|FURG RIO GRANDE|1
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEF ALEXANDRE BACCHI|1
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEF IMACULADA CONCEIÇÃO|6
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEF ZAIDA ZANON|4
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEI GASPARZINHO|1
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEI MARIA ROSA FERREIRA|6
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEI PINGUINHO DE GENTE|2
GUAPORÉ LIMPEZA SMED EMERGENCIAL - 063.2026|EMEI QUINTAL MÁGICO|2
HCPA MENSAGEIROS - 1249781.2024|HOSPITAL DE CLINICAS|4
HOSPITAL SÃO CAMILO - 50163.2025|HOSPITAL SÃO CAMILO|4
IPAM - 012 2022|IPAM|1
IPASEM - 13 2022|IPASEM - PREDIO NOVO|1
PENHA LIMPEZA - 039.2025|PRONTO ATENDIMENTO 24 HORAS|14
PENHA LIMPEZA - 039.2025|SECRETARIA DE SAÚDE|8
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DHPP PORTO ALEGRE|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP ALVORADA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP CACHOEIRINHA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP CANOAS|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP GRAVATAÍ|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP NOVO HAMBURGO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DPRM|3
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP SÃO LEOPOLDO|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|1ª DP VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DHPP PORTO ALEGRE|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DP ALVORADA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DP CACHOEIRINHA|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DP NOVO HAMBURGO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DPPA/DJO/DPM|3
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DPRM CANOAS|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DP SAPUCAIA DO SUL|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2ª DP VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|2º DEAM|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|3ª DHPP PORTO ALEGRE|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|3ª DP CANOAS|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|3ª DP NOVO HAMBURGO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|3ª DPPA/DJO/DPM|3
POLÍCIA CIVIL RS LIMPEZA - 066/2026|3ª DPRM/DEAM SÃO LEOPOLDO|4
POLÍCIA CIVIL RS LIMPEZA - 066/2026|4ª DP CANOAS/DPCA|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|ACADEPOL/DAP|7
POLÍCIA CIVIL RS LIMPEZA - 066/2026|ACADEPOL/LINHA DE TIRO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|CHEFIA DE POLÍCIA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|CIDADE DA POLICIA|18
POLÍCIA CIVIL RS LIMPEZA - 066/2026|COGEPOL|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEAM ALVORADA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEAM ESTEIO|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEAM GRAVATAÍ|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEAM NOVO HAMBURGO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEAM POA|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEAM VIAMÃO|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DECA|11
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DECA 3ª DPCA|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEIC/SED|8
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DENARC|5
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DEPÓSITO//DMP/DAP|2
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DERCAP|1
POLÍCIA CIVIL RS LIMPEZA - 066/2026|DHPP ALVORADA|2
